%% x,psd
0.00327,683289.18750
0.00596,542816.12500
0.00904,532463.25000
0.01519,342153.84375
0.01788,260019.53125
0.02126,271482.50000
0.02402,210688.39062
0.03005,153516.89062
0.03292,198008.42188
0.03536,138198.68750
0.03916,114274.22656
0.04119,129784.31250
0.04701,124478.76562
0.05311,124548.60156
0.05704,100815.41406
0.06063,109756.52344
0.06511,90743.14062
0.06852,71906.12500
0.07430,100938.00000
0.08064,59474.66797
0.08398,63386.89062
0.09205,51313.08203
0.09689,34325.50781
0.10295,47170.42578
0.10832,45225.19922
0.11995,35094.46484
0.12752,29013.61328
0.13412,39033.62891
0.14266,20253.64844
0.15311,32280.79297
0.16448,20700.59570
0.17302,25052.03320
0.20361,21617.22461
0.22551,13289.50098
0.24709,14779.79395
0.28497,11230.84180
0.31228,10769.71484
0.31883,7203.31104
0.34932,8536.46484
0.39078,6216.84912
0.44155,5363.47314
0.48885,4826.94189
0.48402,3905.68970
0.51455,3298.04297
0.56975,2614.02588
0.63094,1863.74475
0.66405,1385.96509
0.69186,987.88654
0.72083,704.14453
0.77413,594.62164
0.83145,461.35791
0.91130,381.47144
0.99872,343.29517
